id;siren;year;code;value
1;418166096;2018;AAF;1341069
2;418166096;2018;AAG;590023
3;418166096;2018;A1L;751046
4;418166096;2018;AAJ;225878
5;418166096;2018;AAK;85883
6;418166096;2018;A1N;139995
7;418166096;2018;AAT;4815826
8;418166096;2018;AAU;1366715
9;418166096;2018;A1U;3449111
10;418166096;2018;ACU;1382039
11;418166096;2018;ACV;344605
12;418166096;2018;A3Q;1037435
13;418166096;2018;ABD;215239
14;418166096;2018;A1Z;215239
15;418166096;2018;ABH;898376
16;418166096;2018;A2B;898376
17;418166096;2018;ABJ;8878427
18;418166096;2018;ABK;2387225
19;418166096;2018;A2C;6491202
20;418166096;2018;ABX;20461713
21;418166096;2018;ABY;31458
22;418166096;2018;A2K;20430255
23;418166096;2018;ABZ;9177618
24;418166096;2018;A2L;9177618
25;418166096;2018;ACF;11233138
26;418166096;2018;A2P;11233138
27;418166096;2018;ACH;429205
28;418166096;2018;A2R;429205
29;418166096;2018;ACJ;41301674
30;418166096;2018;ACK;31458
31;418166096;2018;A2T;41270216
32;418166096;2018;ACN;11313
33;418166096;2018;A2W;11313
34;418166096;2018;ACO;50191415
35;418166096;2018;A1A;2418683
36;418166096;2018;A2X;47772731
37;418166096;2018;BDA;509525
38;418166096;2018;BDB;13371083
39;418166096;2018;BDD;50953
40;418166096;2018;BDH;4131869
41;418166096;2018;BDI;6307114
42;418166096;2018;BDK;20000
43;418166096;2018;BDL;24390543
44;418166096;2018;BDP;16313
45;418166096;2018;BDR;16313
46;418166096;2018;BDX;7496382
47;418166096;2018;BDY;12378774
48;418166096;2018;BEA;2065972
49;418166096;2018;BEB;1424747
50;418166096;2018;BEC;23365875
51;418166096;2018;BEE;47772731
52;418166096;2018;CFA;27081
53;418166096;2018;CFC;27081
54;418166096;2018;CFG;41506524
55;418166096;2018;CFH;765602
56;418166096;2018;CFI;42272126
57;418166096;2018;CFJ;41533605
58;418166096;2018;CFK;765602
59;418166096;2018;CFL;42299207
60;418166096;2018;CFN;239640
61;418166096;2018;CFP;26560
62;418166096;2018;CFQ;11465
63;418166096;2018;CFR;42576872
64;418166096;2018;CFW;12804994
65;418166096;2018;CFX;1174172
66;418166096;2018;CFY;17514495
67;418166096;2018;CFZ;8206499
68;418166096;2018;CGA;707373
69;418166096;2018;CGC;1872
70;418166096;2018;CGE;149796
71;418166096;2018;CGF;40559200
72;418166096;2018;CGG;2017672
73;418166096;2018;CGK;15067
74;418166096;2018;CGL;16448
75;418166096;2018;CGM;1231697
76;418166096;2018;CGN;155
77;418166096;2018;CGP;1263367
78;418166096;2018;CGQ;4131
79;418166096;2018;CGT;577990
80;418166096;2018;CGU;582121
81;418166096;2018;CGV;681246
82;418166096;2018;CGW;2698918
83;418166096;2018;DHA;-18894
84;418166096;2018;DHB;4179942
85;418166096;2018;DHC;16500
86;418166096;2018;DHD;4177548
87;418166096;2018;DHE;174333
88;418166096;2018;DHF;702035
89;418166096;2018;DHH;876368
90;418166096;2018;DHI;3301180
91;418166096;2018;DHJ;68203
92;418166096;2018;DHK;-375219
93;418166096;2018;DHL;48017787
94;418166096;2018;DHM;41710674
95;418166096;2018;DHN;6307114
96;418166096;2018;DA1;5560
97;418166096;2018;DA4;138437
98;418166096;2018;EKD;1205547
99;418166096;2018;EKF;361400
100;418166096;2018;ELN;4735471
101;418166096;2018;ELP;309532
102;418166096;2018;ELQ;3183859
103;418166096;2018;ELS;23831
104;418166096;2018;E0G;9124877
105;418166096;2018;E0J;694763
106;418166096;2018;ELW;1566947
107;418166096;2018;ENG;229177
108;418166096;2018;ENH;4815826
109;418166096;2018;E2F;898376
110;418166096;2018;ENJ;712035
111;418166096;2018;ENK;2495654
112;418166096;2018;E0K;941212
113;418166096;2018;E0L;8878427
114;418166096;2018;GPE;398984
115;418166096;2018;GPF;276922
116;418166096;2018;GPH;675906
117;418166096;2018;GQU;1056228
118;418166096;2018;GQV;539663
119;418166096;2018;GQW;229177
120;418166096;2018;GQX;1366715
121;418166096;2018;G0N;1455212
122;418166096;2018;G0P;816585
123;418166096;2018;G0Q;229177
124;418166096;2018;G0R;2042621
125;418166096;2018;H3X;20000
126;418166096;2018;HTO;20000
127;418166096;2018;H3Z;20000
128;418166096;2018;HTU;20000
129;418166096;2018;H4A;42500
130;418166096;2018;H4C;37500
131;418166096;2018;H4D;5000
132;418166096;2018;H4T;18097
133;418166096;2018;H4V;6784
134;418166096;2018;H4W;11313
135;418166096;2018;H5Z;60597
136;418166096;2018;HTW;44284
137;418166096;2018;HTX;16313
138;418166096;2018;H9U;944920
139;418166096;2018;H9W;600315
140;418166096;2018;H9X;344605
141;418166096;2018;H6T;29586
142;418166096;2018;H6U;1872
143;418166096;2018;H6W;31458
144;418166096;2018;H6X;620467
145;418166096;2018;H6Y;4131
146;418166096;2018;H6Z;624598
147;418166096;2018;H7B;1594973
148;418166096;2018;HTY;6003
149;418166096;2018;HTZ;1224913
150;418166096;2018;HUA;376063
151;418166096;2018;H7C;1675570
152;418166096;2018;HUB;6003
153;418166096;2018;HUC;1269197
154;418166096;2018;HUD;412375
155;418166096;2018;HUE;1872
156;418166096;2018;HUF;21000
157;418166096;2018;HUG;4131
158;418166096;2018;HUH;1231697
159;418166096;2018;HUK;16500
160;418166096;2018;JUT;898376
161;418166096;2018;JUW;898376
162;418166096;2018;JVA;31458
163;418166096;2018;J1A;31458
164;418166096;2018;JUX;20430255
165;418166096;2018;J1B;20430255
166;418166096;2018;JUY;4634
167;418166096;2018;J1D;4634
168;418166096;2018;JUZ;7491
169;418166096;2018;J1E;7491
170;418166096;2018;JVM;2811419
171;418166096;2018;J1F;2811419
172;418166096;2018;JVB;1131770
173;418166096;2018;J1G;1131770
174;418166096;2018;JVC;5033613
175;418166096;2018;J1K;5033613
176;418166096;2018;JVR;188691
177;418166096;2018;J1L;188691
178;418166096;2018;JVS;429205
179;418166096;2018;J1M;429205
180;418166096;2018;JVT;30966912
181;418166096;2018;JVU;30068536
182;418166096;2018;JVV;898376
183;418166096;2018;J8B;7496382
184;418166096;2018;J2G;7496382
185;418166096;2018;J8C;4075989
186;418166096;2018;J2H;4075989
187;418166096;2018;J8D;3625118
188;418166096;2018;J2J;3625118
189;418166096;2018;J8E;415216
190;418166096;2018;J2K;415216
191;418166096;2018;JVW;3914059
192;418166096;2018;J2L;3914059
193;418166096;2018;JVQ;348391
194;418166096;2018;J2N;348391
195;418166096;2018;J8K;2065972
196;418166096;2018;J2S;2065972
197;418166096;2018;J8L;1424747
198;418166096;2018;J2U;1424747
199;418166096;2018;JVY;23365875
200;418166096;2018;JVZ;23365875
201;418166096;2018;MZE;1987149
202;418166096;2018;MYT;4998007
203;418166096;2018;MXQ;2195103
204;418166096;2018;MYU;214105
205;418166096;2018;MSS;362470
206;418166096;2018;MST;5035308
207;418166096;2018;MZJ;12804994
208;418166096;2018;MYW;624826
209;418166096;2018;M9Z;549346
210;418166096;2018;MYX;1174172
211;418166096;2018;MYY;7826954
212;418166096;2018;MYZ;2749103
213;418166096;2018;M0B;17021093
214;418166096;2018;MYP;404
215;418166096;2017;AAF;498174
216;418166096;2017;AAG;328092
217;418166096;2017;A1L;170082
218;418166096;2017;AAJ;707373
219;418166096;2017;AAK;70892
220;418166096;2017;A1N;636481
221;418166096;2017;AAT;4735471
222;418166096;2017;AAU;1056228
223;418166096;2017;A1U;3679243
224;418166096;2017;ACU;2094074
225;418166096;2017;ACV;944920
226;418166096;2017;A3Q;1149155
227;418166096;2017;ABD;208455
228;418166096;2017;A1Z;208455
229;418166096;2017;ABH;881329
230;418166096;2017;A2B;881329
231;418166096;2017;ABJ;9124877
232;418166096;2017;ABK;2400132
233;418166096;2017;A2C;6724745
234;418166096;2017;ABX;19551037
235;418166096;2017;ABY;29586
236;418166096;2017;A2K;19521451
237;418166096;2017;ABZ;4865025
238;418166096;2017;ACA;620467
239;418166096;2017;A2L;4244558
240;418166096;2017;ACF;11535072
241;418166096;2017;A2P;11535072
242;418166096;2017;ACH;407766
243;418166096;2017;A2R;407766
244;418166096;2017;ACJ;36358901
245;418166096;2017;ACK;650053
246;418166096;2017;A2T;35708847
247;418166096;2017;ACN;18097
248;418166096;2017;A2W;18097
249;418166096;2017;ACO;45501875
250;418166096;2017;A1A;3050185
251;418166096;2017;A2X;42451690
252;418166096;2017;BDA;509525
253;418166096;2017;BDB;13371083
254;418166096;2017;BDD;47774
255;418166096;2017;BDH;4131487
256;418166096;2017;BDI;1990708
257;418166096;2017;BDK;20000
258;418166096;2017;BDL;20070578
259;418166096;2017;BDP;60597
260;418166096;2017;BDR;60597
261;418166096;2017;BDX;5984047
262;418166096;2017;BDY;12808629
263;418166096;2017;BDZ;162908
264;418166096;2017;BEA;196570
265;418166096;2017;BEB;3168361
266;418166096;2017;BEC;22320515
267;418166096;2017;BEE;42451690
268;418166096;2017;BEG;22320515
269;418166096;2017;CFA;57177
270;418166096;2017;CFC;57177
271;418166096;2017;CFG;49696518
272;418166096;2017;CFH;987558
273;418166096;2017;CFI;50684076
274;418166096;2017;CFJ;49753695
275;418166096;2017;CFK;987558
276;418166096;2017;CFL;50741253
277;418166096;2017;CFN;412753
278;418166096;2017;CFO;4000
279;418166096;2017;CFP;213280
280;418166096;2017;CFQ;22340
281;418166096;2017;CFR;51393626
282;418166096;2017;CFW;13060152
283;418166096;2017;CFX;1420686
284;418166096;2017;CFY;23171243
285;418166096;2017;CFZ;10788381
286;418166096;2017;CGA;832879
287;418166096;2017;CGC;7500
288;418166096;2017;CGE;69735
289;418166096;2017;CGF;49350575
290;418166096;2017;CGG;2043051
291;418166096;2017;CGK;14605
292;418166096;2017;CGL;24411
293;418166096;2017;CGM;184578
294;418166096;2017;CGN;87
295;418166096;2017;CGO;18927
296;418166096;2017;CGP;242608
297;418166096;2017;CGQ;981783
298;418166096;2017;CGS;180
299;418166096;2017;CGU;981963
300;418166096;2017;CGV;-739355
301;418166096;2017;CGW;1303696
302;418166096;2017;DHA;40894
303;418166096;2017;DHC;21000
304;418166096;2017;DHD;61894
305;418166096;2017;DHE;219878
306;418166096;2017;DHH;219878
307;418166096;2017;DHI;-157985
308;418166096;2017;DHJ;34763
309;418166096;2017;DHK;-879760
310;418166096;2017;DHL;51698128
311;418166096;2017;DHM;49707419
312;418166096;2017;DHN;1990708
313;418166096;2017;DA1;9373
314;418166096;2017;DA4;52601
315;418166096;2017;EKD;879298
316;418166096;2017;EKF;564616
317;418166096;2017;ELN;3275185
318;418166096;2017;ELP;1635876
319;418166096;2017;ELQ;2313199
320;418166096;2017;ELR;24097
321;418166096;2017;ELS;1356695
322;418166096;2017;E0G;6467682
323;418166096;2017;E0H;24097
324;418166096;2017;E0J;3557187
325;418166096;2017;ELV;238366
326;418166096;2017;ELW;1205547
327;418166096;2017;ENG;175591
328;418166096;2017;ENH;4735471
329;418166096;2017;E2E;209580
330;418166096;2017;E2F;881329
331;418166096;2017;ENJ;510131
332;418166096;2017;ENK;3183859
333;418166096;2017;E0K;924088
334;418166096;2017;E0L;9124877
335;418166096;2017;GPE;307684
336;418166096;2017;GPF;203019
337;418166096;2017;GPG;111718
338;418166096;2017;GPH;398984
339;418166096;2017;GQU;601958
340;418166096;2017;GQV;629860
341;418166096;2017;GQW;175591
342;418166096;2017;GQX;1056228
343;418166096;2017;G0N;909642
344;418166096;2017;G0P;832879
345;418166096;2017;G0Q;287309
346;418166096;2017;G0R;1455212
347;418166096;2017;H3X;20000
348;418166096;2017;HTO;20000
349;418166096;2017;H3Z;20000
350;418166096;2017;HTU;20000
351;418166096;2017;H4A;63500
352;418166096;2017;H4C;21000
353;418166096;2017;H4D;42500
354;418166096;2017;H4U;18097
355;418166096;2017;H4W;18097
356;418166096;2017;H5Z;63500
357;418166096;2017;HTV;18097
358;418166096;2017;HTW;21000
359;418166096;2017;HTX;60597
360;418166096;2017;H9U;295815
361;418166096;2017;H9V;833683
362;418166096;2017;H9W;184578
363;418166096;2017;H9X;944920
364;418166096;2017;H6T;225993
365;418166096;2017;H6U;7500
366;418166096;2017;H6V;203907
367;418166096;2017;H6W;29586
368;418166096;2017;H6X;490464
369;418166096;2017;H6Y;130003
370;418166096;2017;H7A;620467
371;418166096;2017;H7B;1012272
372;418166096;2017;HTY;971186
373;418166096;2017;HTZ;388485
374;418166096;2017;HUA;1594973
375;418166096;2017;H7C;1095772
376;418166096;2017;HUB;989283
377;418166096;2017;HUC;409485
378;418166096;2017;HUD;1675570
379;418166096;2017;HUE;7500
380;418166096;2017;HUF;203907
381;418166096;2017;HUG;981783
382;418166096;2017;HUH;184578
383;418166096;2017;HUK;21000
384;418166096;2017;JUT;881329
385;418166096;2017;JUW;881329
386;418166096;2017;JVA;29586
387;418166096;2017;J1A;29586
388;418166096;2017;JUX;19521451
389;418166096;2017;J1B;19521451
390;418166096;2017;JUY;1046
391;418166096;2017;J1D;1046
392;418166096;2017;JVM;1995699
393;418166096;2017;J1F;1995699
394;418166096;2017;JVB;978258
395;418166096;2017;J1G;978258
396;418166096;2017;JVC;1574055
397;418166096;2017;J1K;1574055
398;418166096;2017;JVR;315966
399;418166096;2017;J1L;315966
400;418166096;2017;JVS;407766
401;418166096;2017;J1M;407766
402;418166096;2017;JVT;25705158
403;418166096;2017;JVU;24823829
404;418166096;2017;JVV;881329
405;418166096;2017;J8B;5984047
406;418166096;2017;J2G;5984047
407;418166096;2017;J8C;3838033
408;418166096;2017;J2H;3838033
409;418166096;2017;J8D;4922595
410;418166096;2017;J2J;4922595
411;418166096;2017;JVW;3831334
412;418166096;2017;J2L;3831334
413;418166096;2017;JVQ;216667
414;418166096;2017;J2N;216667
415;418166096;2017;J8J;162908
416;418166096;2017;J2P;162908
417;418166096;2017;J8K;196570
418;418166096;2017;J2S;196570
419;418166096;2017;J8L;3168361
420;418166096;2017;J2U;3168361
421;418166096;2017;JVY;22320515
422;418166096;2017;JVZ;22320515
423;418166096;2017;MYT;4296825
424;418166096;2017;MXQ;3081548
425;418166096;2017;MYU;242278
426;418166096;2017;MSS;330501
427;418166096;2017;MST;5109001
428;418166096;2017;MZJ;13060152
429;418166096;2017;MYW;712409
430;418166096;2017;M9Z;708277
431;418166096;2017;MYX;1420686
432;418166096;2017;MYY;9983076
433;418166096;2017;MYZ;2132298
434;418166096;2017;M0B;22211127
435;418166096;2017;MYP;330
