id;competitor_siren;montant;devise;nbr_parts;pourcentage_detention_pp;pourcentage_detention_pm;listed;private_capital;independent_c;independent_e;old
1;mobile Fish;77969;Savings Account Dam;9997;5808;45924;true;false;true;false;true
2;Movies Producer;83244;red Chips Soap;30424;61165;52475;false;false;false;false;true
3;enable Gorgeous Frozen Pants;23277;Licensed Savings Account;38246;51423;98323;true;false;false;true;true
4;Table Small Frozen Sausages Planner;80839;access Intelligent;68423;24102;44015;true;false;true;false;true
5;Salad;39106;Tuna;75536;31171;42515;true;false;true;true;false
6;Facilitator;77513;Markets Chief;59789;72727;92187;false;false;true;false;true
7;Tactics;84453;compress South Georgia and the South Sandwich Islands;58675;35675;96525;false;true;true;false;false
8;back-end;7455;Administrator;77224;39488;19871;false;false;false;true;false
9;monitor 1080p Checking Account;92630;deposit Internal;85003;62329;44945;false;false;false;false;false
10;moratorium pixel withdrawal;88721;Junction Frozen;71324;84891;76078;true;true;false;true;false
