id;level;price;currency;payment_type;modified;competitor_id
1;MIDDLE;77969;AUD;PER_HOUR;2019-11-28T17:23:24;2101
2;TRAINEE;2058;AUD;PER_HOUR;2019-11-28T16:59:50;2101
3;MIDDLE;706;EUR;PER_HOUR;2019-11-28T23:01:27;2101
4;MIDDLE;78517;USD;PER_HOUR;2019-11-28T15:29:22;2101
5;TRAINEE;1326;RUB;PER_DAY;2019-11-28T15:23:43;2101
6;TRAINEE;12203;USD;PER_HOUR;2019-11-28T21:36:47;2101
7;SENIOR;3131;EUR;PER_HOUR;2019-11-29T03:06:47;2101
8;MIDDLE;27134;AUD;PER_HOUR;2019-11-29T01:11:34;2101
9;MIDDLE;16526;AUD;PER_DAY;2019-11-29T07:41:03;2101
10;SENIOR;70685;USD;PER_DAY;2019-11-28T11:24:58;2101
