id;seniority;salary;update_date;updated_by
1;mobile Fish;77969;2020-02-02;Table Computer
2;Trace;33370;2020-02-02;alarm
3;Tasty Metal Bacon;93855;2020-02-03;Chips
4;Money Market Account;61165;2020-02-03;web-readiness
5;Namibia;39986;2020-02-03;zero administration
6;Multi-channelled Licensed;61838;2020-02-03;Cambridgeshire Mississippi
7;HDD;68030;2020-02-03;Small Frozen Sausages Planner
8;envisioneer Music Public-key;24102;2020-02-03;Rubber Buckinghamshire Games
9;incentivize Tuna copy;42515;2020-02-03;Mayotte
10;Industrial;84228;2020-02-02;Markets Chief
