id;interviews_number;recrutment_time;reviewed_cv_percent;hr_details;vacancies_url;hr_specialists_number
1;70685;application quantify Unbranded Plastic Tuna;11586;IB Investment Account archive;envisioneer;66884
2;32518;pixel withdrawal;88721;Junction Frozen;synthesizing hard drive Robust;25606
3;49379;Poland;42754;Grocery;red;89576
4;63641;knowledge base Buckinghamshire;90756;Phased;Saint Lucia white;94285
5;7697;neutral Salad;92969;virtual deposit;Squares mint green e-business;88328
6;53934;back-end;89609;support Gorgeous;withdrawal;52
7;81801;SQL Games;51074;supply-chains magenta;encompassing;24412
8;94290;conglomeration;51879;Kenyan Shilling robust;Versatile Exclusive Moroccan Dirham;71227
9;30087;zero tolerance;3688;Personal Loan Account;paradigms Home;34507
10;90826;Public-key Granite;48945;Designer Persistent;Handmade 24/7 Re-contextualized;80313
