id;region;zip
1;Auvergne-Rhône-Alpes;01
2;Auvergne-Rhône-Alpes;03
3;Auvergne-Rhône-Alpes;07
4;Auvergne-Rhône-Alpes;15
5;Auvergne-Rhône-Alpes;26
6;Auvergne-Rhône-Alpes;38
7;Auvergne-Rhône-Alpes;42
8;Auvergne-Rhône-Alpes;43
9;Auvergne-Rhône-Alpes;63
10;Auvergne-Rhône-Alpes;69
11;Auvergne-Rhône-Alpes;69M
12;Auvergne-Rhône-Alpes;73
13;Auvergne-Rhône-Alpes;74
14;Bourgogne-Franche-Comté;21
15;Bourgogne-Franche-Comté;25
16;Bourgogne-Franche-Comté;39
17;Bourgogne-Franche-Comté;58
18;Bourgogne-Franche-Comté;70
19;Bourgogne-Franche-Comté;71
20;Bourgogne-Franche-Comté;89
21;Bourgogne-Franche-Comté;90
22;Bretagne;22
23;Bretagne;29
24;Bretagne;35
25;Bretagne;56
26;Centre-Val de Loire;18
27;Centre-Val de Loire;28
28;Centre-Val de Loire;36
29;Centre-Val de Loire;37
30;Centre-Val de Loire;41
31;Centre-Val de Loire;45
32;Corse;2A
33;Corse;2B
34;Guyane;973
35;Grand Est;08
36;Grand Est;10
37;Grand Est;51
38;Grand Est;52
39;Grand Est;54
40;Grand Est;55
41;Grand Est;57
42;Grand Est;67
43;Grand Est;68
44;Grand Est;88
45;Guadeloupe;971
46;Hauts-de-France;02
47;Hauts-de-France;59
48;Hauts-de-France;60
49;Hauts-de-France;62
50;Hauts-de-France;80
51;Île-de-France;75
52;Île-de-France;77
53;Île-de-France;78
54;Île-de-France;91
55;Île-de-France;92
56;Île-de-France;93
57;Île-de-France;94
58;Île-de-France;95
59;Martinique;972
60;Mayotte;976
61;Normandie;14
62;Normandie;27
63;Normandie;50
64;Normandie;61
65;Normandie;76
66;Nouvelle-Aquitaine;16
67;Nouvelle-Aquitaine;17
68;Nouvelle-Aquitaine;19
69;Nouvelle-Aquitaine;23
70;Nouvelle-Aquitaine;24
71;Nouvelle-Aquitaine;33
72;Nouvelle-Aquitaine;40
73;Nouvelle-Aquitaine;47
74;Nouvelle-Aquitaine;64
75;Nouvelle-Aquitaine;79
76;Nouvelle-Aquitaine;86
77;Nouvelle-Aquitaine;87
78;Occitanie;09
79;Occitanie;11
80;Occitanie;12
81;Occitanie;30
82;Occitanie;31
83;Occitanie;32
84;Occitanie;34
85;Occitanie;46
86;Occitanie;48
87;Occitanie;65
88;Occitanie;66
89;Occitanie;81
90;Occitanie;82
91;Pays de la Loire;44
92;Pays de la Loire;49
93;Pays de la Loire;53
94;Pays de la Loire;72
95;Pays de la Loire;85
96;Provence-Alpes-Côte d'Azur;04
97;Provence-Alpes-Côte d'Azur;05
98;Provence-Alpes-Côte d'Azur;06
99;Provence-Alpes-Côte d'Azur;13
100;Provence-Alpes-Côte d'Azur;83
101;Provence-Alpes-Côte d'Azur;84
102;Reunion;974
